Location,Year,1,2,3,4,5,6,7,8,9,10,11,12
SG GALAS,2015,31.93419355,28.78142857,26.01580645,25.528,25.78129032,25.683,25.49193548,25.64064516,25.46766667,25.91774194,26.61433333,26.50677419
SG GALAS,2016,25.92290323,25.93068966,24.83806452,25.052,25.55419355,26.056,26.5583871,27.0683871,27.57033333,28.07258065,28.70166667,29.60935484
SG GALAS,2017,31.97580645,29.91285714,29.33870968,29.42633333,29.71032258,29.32066667,29.32,29.40645161,30.17833333,29.95516129,31.26866667,31.22322581
SG GALAS,2018,31.60580645,29.27214286,28.60483871,28.84033333,29.77,30.064,29.79129032,27.04419355,25.88266667,25.3916129,25.17433333,25.93193548
SG GALAS,2019,26.75322581,26.78,26.7683871,26.787,26.74806452,26.69133333,26.70516129,26.72322581,26.728,29.51548387,28.455,29.62677419
SG GOLOK KG JENOB,1981,19.42033333,19.21285714,19.06258065,19.06333333,19.3216129,19.27466667,19.14322581,18.99774194,19.45433333,19.24419355,19.83233333,20.0116129
SG GOLOK KG JENOB,1982,19.18516129,19.06214286,18.80483871,19.089,19.22,19.27833333,19.30129032,19.32451613,19.34833333,19.37096774,19.394,19.41806452
SG GOLOK KG JENOB,1983,19.44064516,19.46321429,19.48612903,19.509,19.53193548,19.55533333,19.57870968,19.60193548,19.625,19.64870968,19.5,20.6416129
SG GOLOK KG JENOB,1984,19.57774194,20.39655172,19.92096774,19.41333333,19.53064516,19.49,19.29967742,19.28870968,19.40333333,19.46258065,19.39733333,20.37129032
SG GOLOK KG JENOB,1985,19.6416129,19.36571429,19.87258065,19.24333333,19.60516129,19.276,19.11903226,19.04612903,19.62933333,20.0983871,19.54366667,19.28387097
SG GOLOK KG JENOB,1986,19.18193548,19.19,19.19225806,19.2,19.20419355,19.21,19.21612903,19.22,19.22833333,19.23032258,19.24,19.24225806
SG GOLOK KG JENOB,1987,19.22870968,18.96785714,18.87225806,18.79766667,19.02322581,18.988,19.02,19.0183871,19.01,19.01,19.01,19.01
SG GOLOK KG JENOB,1988,19.00483871,19,19,19,19,18.99166667,18.99,18.99,18.99,18.98806452,18.98,18.98
SG GOLOK KG JENOB,1989,18.98,18.98,18.97516129,18.97,18.97,18.97,18.97,18.9616129,18.96,18.96,18.96,18.95806452
SG GOLOK KG JENOB,1990,18.95,18.95,18.95,18.95,18.94516129,18.94,18.94,18.94,18.94,18.9316129,18.93,18.93
SG GOLOK KG JENOB,1991,18.93,18.92857143,18.92,18.92,18.90580645,18.89933333,18.89935484,18.97516129,19.04333333,19.11193548,19.18,19.24870968
SG GOLOK KG JENOB,1992,19.31774194,19.38034483,19.04,19.03033333,19.08096774,19.36866667,19.19967742,18.91129032,18.87433333,19.42903226,20.141,20.21419355
SG GOLOK KG JENOB,1993,19.56806452,19.11,19.29290323,19.23,19.09806452,19.159,19.62709677,19.24516129,19.55166667,19.44193548,19.29066667,19.21612903
SG GOLOK KG JENOB,1994,19.1383871,19.40071429,19.20806452,19.23333333,19.23935484,19.49,19.02903226,18.9016129,19.11766667,19.24516129,21.035,19.81709677
SG GOLOK KG JENOB,1995,19.60806452,19.23678571,19.02548387,18.807,18.69741935,19.532,19.45677419,19.4516129,19.38566667,19.40612903,19.78166667,19.86645161
SG GOLOK KG JENOB,1996,19.42483871,19.28586207,18.84612903,18.78133333,18.83548387,18.92966667,19.09612903,18.92129032,19.206,19.38709677,19.42266667,20.06774194
SG GOLOK KG JENOB,1997,18.92870968,18.79785714,18.6783871,18.69833333,18.72,19.03,19.27322581,18.94032258,19.258,19.10935484,19.58633333,20.38354839
SG GOLOK KG JENOB,1998,19.38129032,18.91428571,18.60258065,18.43,18.42806452,18.69166667,19.01354839,19.10193548,19.10366667,19.03322581,19.349,19.97870968
SG GOLOK KG JENOB,1999,20.13903226,19.65571429,19.2116129,19.15533333,19.09903226,19.063,18.92516129,19.38290323,19.12533333,19.31064516,19.32733333,19.94645161
SG GOLOK KG JENOB,2000,19.57806452,19.41275862,19.60806452,19.46333333,19.39774194,19.13566667,18.95516129,19.23193548,19.21633333,19.32774194,19.921,19.68322581
SG GOLOK KG JENOB,2001,20.19967742,19.38464286,19.37935484,19.06833333,19.13580645,19.169,18.93322581,18.63677419,19.24566667,19.67580645,19.736,20.20322581
SG GOLOK KG JENOB,2002,19.51935484,19.02571429,18.96580645,18.88366667,18.94516129,19.35,19.03967742,19.18903226,19.105,20.11225806,19.554,19.83419355
SG GOLOK KG JENOB,2003,19.64935484,19.25392857,19.11870968,19.31566667,19.10354839,19.03966667,19.05129032,19.27419355,19.071,19.77483871,19.54433333,20.71483871
SG GOLOK KG JENOB,2004,19.56677419,19.30689655,19.02580645,19.00133333,19.03290323,19.02666667,18.95774194,18.86129032,18.883,19.55967742,19.837,20.12451613
SG GOLOK KG JENOB,2005,19.34129032,19.14285714,19.02419355,19.07666667,19.17516129,19.483,19.28774194,19.28096774,19.40133333,19.6283871,20.56166667,21.9183871
SG GOLOK KG JENOB,2006,20.06354839,20.05607143,20.0483871,20.15966667,20.72,20.85166667,20.54032258,20.52741935,21.08666667,20.6,20.679,20.77870968
SG GOLOK KG JENOB,2007,20.73193548,20.25892857,20.27774194,20.27733333,21.06580645,20.60633333,20.43903226,20.42516129,20.422,20.33096774,20.531,21.53935484
SG GOLOK KG JENOB,2008,20.00580645,19.61827586,20.09322581,19.67766667,19.78548387,19.81266667,19.79774194,19.72290323,19.507,19.65903226,20.01733333,20.58096774
SG GOLOK KG JENOB,2009,20.49483871,19.59714286,19.39354839,19.328,19.41322581,19.08366667,19.28967742,18.9883871,19.04633333,19.3316129,20.62966667,20.49225806
SG GOLOK KG JENOB,2010,19.79548387,19.20178571,19.07580645,19.002,19.09032258,19.337,19.35451613,19.31806452,19.60366667,19.73548387,20.49766667,20.0983871
SG GOLOK KG JENOB,2011,20.63612903,19.59464286,19.42709677,19.35533333,19.09967742,19.169,18.99258065,19.13322581,19.334,19.32129032,20.18566667,20.45612903
SG GOLOK KG JENOB,2012,20.49870968,19.74275862,19.86258065,19.74933333,19.32322581,19.117,19.17483871,19.2416129,19.15066667,19.31451613,19.289,19.95290323
SG GOLOK KG JENOB,2013,20.59354839,20.16642857,19.91354839,18.82433333,19.32290323,18.92866667,19.28129032,19.43580645,19.34066667,19.07741935,19.43133333,20.56870968
SG GOLOK KG JENOB,2014,20.34064516,19.32285714,19.09903226,19.04166667,19.08516129,19.14466667,19.22903226,19.63645161,19.11266667,19.38258065,19.83466667,21.03451613
SG GOLOK KG JENOB,2015,20.3416129,19.47785714,18.86129032,18.69133333,18.9716129,18.88966667,18.93806452,19.06193548,19.184,19.30774194,19.56466667,19.66580645
SG GOLOK KG JENOB,2016,19.21709677,19.22068966,18.7783871,18.54,18.4783871,18.92833333,18.93935484,18.79774194,18.75,18.71258065,19.03466667,19.93935484
SG GOLOK KG JENOB,2017,21.07967742,19.40535714,19.02451613,19.172,19.20225806,19.11933333,19.17258065,18.93806452,19.32366667,19.17677419,19.87733333,19.72806452
SG GOLOK KG JENOB,2018,19.67677419,18.76678571,18.54741935,18.421,18.49516129,18.5,18.5183871,18.4016129,18.885,18.86806452,19.27733333,19.75419355
SG GOLOK KG JENOB,2019,19.18290323,18.63964286,18.37290323,18.84833333,18.88354839,18.95133333,18.96225806,19.12612903,19.151,19.18258065,19.40466667,20.19096774
SG GOLOK RANTAU PANJANG,1980,4.674193548,4.441724138,4.439677419,4.242,4.300322581,4.583333333,4.66483871,5.985483871,4.883,5.675483871,6.004333333,6.71483871
SG GOLOK RANTAU PANJANG,1981,4.988387097,4.744642857,4.189032258,4.411666667,5.08516129,4.601333333,4.449354839,4.259032258,4.886,4.851612903,6.233,6.762580645
SG GOLOK RANTAU PANJANG,1982,4.859677419,4.283214286,4.019032258,4.442,4.845806452,5.627,5.258709677,5.109677419,5.613333333,5.559032258,5.574,6.693225806
SG GOLOK RANTAU PANJANG,1983,5.446129032,4.458571429,4.109032258,4.265,4.577419355,4.885,5.21483871,5.108709677,5.348333333,5.037741935,5.896333333,8.191612903
SG GOLOK RANTAU PANJANG,1984,5.757096774,6.628965517,5.225806452,4.916333333,5.547741935,5.411,5.356129032,4.968064516,5.28,5.509032258,5.142333333,7.748387097
SG GOLOK RANTAU PANJANG,1985,5.597741935,4.951071429,6.289354839,5.476333333,5.443548387,5.410333333,5.377096774,5.343870968,5.310666667,5.277419355,5.244666667,5.211935484
SG GOLOK RANTAU PANJANG,1986,5.177419355,5.146071429,5.114193548,5.081,5.047419355,5.015,4.982258065,4.947741935,4.921666667,5.734516129,4.770333333,5.262258065
SG GOLOK RANTAU PANJANG,1987,5.568709677,4.476785714,4.419677419,4.288,4.703225806,5.073,5.443225806,5.819677419,6.19,6.558387097,5.228666667,7.801290323
SG GOLOK RANTAU PANJANG,1988,5.081935484,5.196206897,4.77,4.246666667,5.03483871,5.057333333,5.27516129,6.032258065,5.504666667,5.145806452,7.119666667,7.162258065
SG GOLOK RANTAU PANJANG,1989,5.698709677,4.726785714,4.397419355,4.545666667,4.711612903,4.902,5.752580645,6.520645161,7.277,7.950967742,5.977,5.707096774
SG GOLOK RANTAU PANJANG,1990,6.882258065,6.421428571,4.137096774,4.209666667,4.109032258,4.144333333,4.330645161,4.882903226,4.061666667,5.171935484,5.062666667,6.998064516
SG GOLOK RANTAU PANJANG,1991,5.286451613,4.673214286,4.127419355,3.957,4.138709677,4.515333333,4.606451613,3.83516129,4.479,4.962258065,7.073,7.005483871
SG GOLOK RANTAU PANJANG,1992,6.371935484,4.941034483,4.627096774,4.237666667,4.598064516,5.063,4.839032258,4.353225806,4.358333333,4.971290323,6.562333333,7.209677419
SG GOLOK RANTAU PANJANG,1993,5.947741935,5.831071429,6.456774194,4.743,5.118709677,5.332666667,5.630645161,5.329354839,6.225666667,6.60516129,7.757666667,7.775483871
SG GOLOK RANTAU PANJANG,1994,5.235806452,4.597142857,5.102580645,4.738333333,5.665483871,6.282,5.193225806,5.142903226,5.287666667,6.005483871,8.985,6.439032258
SG GOLOK RANTAU PANJANG,1995,5.514516129,4.699285714,4.418709677,4.103666667,4.361290323,4.912,5.818387097,6.353548387,5.534,5.56483871,6.707,6.062903226
SG GOLOK RANTAU PANJANG,1996,5.473225806,4.846551724,4.029032258,4.845333333,4.318709677,4.206666667,4.365483871,4.400645161,5.676,5.441290323,5.649666667,7.41483871
SG GOLOK RANTAU PANJANG,1997,6.319032258,4.388928571,3.880645161,4.157333333,3.889032258,4.258333333,5.18,4.42483871,6.067333333,5.526451613,5.659333333,8.860967742
SG GOLOK RANTAU PANJANG,1998,6.380967742,4.536428571,4.064193548,3.676666667,3.497419355,4.204666667,4.706451613,5.313225806,5.951,5.369677419,5.740666667,6.838387097
SG GOLOK RANTAU PANJANG,1999,7.082258065,6.433571429,5.175806452,5.449333333,5.163548387,5.115333333,4.618387097,4.541935484,5.708666667,5.679032258,5.689,7.156129032
SG GOLOK RANTAU PANJANG,2000,6.235483871,5.168275862,5.570645161,5.499333333,5.270322581,4.742666667,4.338387097,4.568064516,5.081333333,5.282903226,6.803333333,6.217096774
SG GOLOK RANTAU PANJANG,2001,7.095806452,4.91,5.166129032,4.422333333,4.779354839,5.285333333,4.376129032,4.837419355,5.09,6.164193548,6.348,6.558709677
SG GOLOK RANTAU PANJANG,2002,5.412258065,4.043928571,3.829354839,3.594,3.879677419,5.079,4.192903226,4.698709677,4.378666667,4.321290323,5.748333333,6.143548387
SG GOLOK RANTAU PANJANG,2003,5.362580645,4.677857143,4.110322581,4.465666667,4.034516129,4.302666667,4.668709677,4.975483871,4.375666667,6.6,5.465,7.651935484
SG GOLOK RANTAU PANJANG,2004,5.051290323,4.785172414,4.010322581,3.992333333,4.566451613,4.382,4.138387097,4.226451613,5.024333333,5.769032258,6.570333333,6.59483871
SG GOLOK RANTAU PANJANG,2005,4.527096774,3.681785714,3.554516129,3.588,3.992903226,5.103,5.029032258,4.478387097,5.286666667,5.446129032,7.516666667,8.386774194
SG GOLOK RANTAU PANJANG,2006,5.956451613,4.189642857,4.205806452,4.251333333,4.298064516,4.343666667,4.39,4.436774194,4.482666667,4.529032258,4.575,4.620645161
SG GOLOK RANTAU PANJANG,2007,4.668064516,4.712142857,4.756774194,4.802666667,4.849032258,4.895,4.940645161,4.988064516,5.033666667,5.079677419,5.126,5.171935484
SG GOLOK RANTAU PANJANG,2008,5.124193548,4.105517241,5.663225806,4.261666667,4.903225806,4.206333333,5.486451613,5.378709677,4.574,4.631290323,5.575,7.16483871
SG GOLOK RANTAU PANJANG,2009,5.567419355,4.753571429,5.13516129,5.164,5.800322581,4.639333333,3.10516129,3.336129032,4.594333333,5.350322581,8.243,7.453870968
SG GOLOK RANTAU PANJANG,2010,5.534516129,4.786785714,4.55,4.304,4.059032258,3.814,3.630322581,4.232580645,4.404333333,4.663548387,7.665,7.18
SG GOLOK RANTAU PANJANG,2011,7.377741935,4.644285714,5.072258065,5.462333333,4.67516129,5.381333333,5.298709677,4.870967742,5.275,5.22,6.477,7.480967742
SG GOLOK RANTAU PANJANG,2012,7.626451613,5.148275862,5.124516129,5.349,4.968387097,4.096333333,4.38,4.770322581,4.608333333,4.95516129,4.469666667,6.080322581
SG GOLOK RANTAU PANJANG,2013,6.451290323,5.429285714,5.61516129,4.502666667,4.814193548,4.456666667,4.184516129,4.636451613,4.973,4.57,5.333,7.372903226
SG GOLOK RANTAU PANJANG,2014,6.330645161,4.021785714,3.62516129,3.475666667,3.52516129,4.133666667,4.068709677,4.947096774,4.609666667,6.041290323,6.675666667,7.619677419
SG GOLOK RANTAU PANJANG,2015,6.652258065,4.076428571,3.513225806,3.360666667,3.967741935,4.361333333,3.684516129,4.862580645,5.275333333,5.687419355,5.986666667,6.39483871
SG GOLOK RANTAU PANJANG,2016,5.128387097,5.473793103,4.324516129,3.952666667,3.921612903,5.098333333,5.274193548,5.033225806,5.260666667,4.880645161,5.692666667,6.787419355
SG GOLOK RANTAU PANJANG,2017,8.212580645,5.228928571,4.354193548,4.563,4.683548387,4.686333333,5.409354839,5.053225806,5.069,5.199032258,5.358666667,6.720645161
SG GOLOK RANTAU PANJANG,2018,6.889354839,4.086428571,3.624516129,3.448333333,4.218064516,4.328333333,4.709677419,4.824516129,4.930333333,5.00516129,5.961,6.644193548
SG GOLOK RANTAU PANJANG,2019,5.774516129,4.164642857,3.377419355,3.455666667,3.798387097,5.014,4.273548387,4.273548387,4.774,4.787741935,6.071333333,8.091612903
SG KELANTAN,1980,9.249354839,9.013448276,9.018387097,8.775666667,9.023870968,8.941666667,8.793548387,9.448064516,9.283333333,10.05129032,10.03933333,10.43096774
SG KELANTAN,1981,9.397741935,8.968571429,8.609677419,8.916333333,9.286129032,8.819,8.810645161,8.498387097,8.977333333,9.365483871,9.700666667,9.922258065
SG KELANTAN,1982,8.85,8.528571429,8.38516129,9.081666667,9.261612903,9.451333333,9.068387097,9.077741935,9.341,9.671935484,9.889,11.0983871
SG KELANTAN,1983,9.782903226,8.855357143,8.529032258,8.272,8.542580645,8.647666667,8.932580645,9.196451613,9.850666667,9.285483871,9.571,13.71483871
SG KELANTAN,1984,10.08387097,12.10413793,10.40258065,9.825666667,10.12870968,9.781333333,9.569354839,9.297419355,9.543666667,9.827741935,9.513666667,11.15935484
SG KELANTAN,1985,9.717419355,9.579642857,10.53903226,9.366333333,10.05193548,9.304,8.899032258,8.891290323,9.678666667,10.85903226,10.28833333,10.48645161
SG KELANTAN,1986,9.880322581,8.861785714,8.888064516,8.756,8.551290323,8.766,8.521935484,8.359677419,9.174333333,10.33548387,10.19633333,12.51064516
