Location,Year,1,2,3,4,5,6,7,8,9,10,11,12
SG GALAS,1980.0,27.13181685294834,26.77514198334158,26.361738099805812,26.149590133933778,26.391504256726822,26.489821483135223,26.464045127811453,26.363513693714577,26.526444676876736,26.931190326305646,27.574119366519323,27.95671539107939
SG GALAS,1981.0,26.478839646324307,26.119873433697844,25.702893709269915,25.50256649144508,25.748084089896064,25.825623829603195,25.80295119938032,25.70698574001803,25.87504950409405,26.270093406203678,26.89974561448926,27.31926200614964
SG GALAS,1982.0,27.16164469914412,26.800772016360337,26.385567999252718,26.17631575980263,26.420692331234665,26.512993533849716,26.494131652929948,26.391352032863626,26.554324719664187,26.96040984332044,27.60132515358166,27.986874664634914
SG GALAS,1983.0,27.230102185857945,26.82114803379662,26.43363536188285,26.21639332316229,26.46149832112282,26.557266075849533,26.54794700605361,26.445807336081003,26.596021806548872,27.012931329274405,27.641007950178693,28.02806701125963
SG GALAS,1984.0,27.342056816348826,26.96210474421736,26.557024863748705,26.350733017246,26.594174946085367,26.687877584934235,26.66856828331034,26.57000999362186,26.73277411692491,27.14148406421866,27.779970687816867,28.163183668893012
SG GALAS,1985.0,27.28260667730435,26.944079950522568,26.523223909106704,26.313535892809767,26.55705681045259,26.642303277492523,26.61932754537255,26.52244162979095,26.68615326815655,27.0979435613756,27.731293123991172,28.11776018426907
SG GALAS,1986.0,27.272353676351656,26.881355550949678,26.479079557090756,26.268965217601906,26.51439514867797,26.60720254921913,26.60254812409446,26.5020884862702,26.649322346193895,27.06905407027982,27.696642967334665,28.08542243747138
SG GALAS,1987.0,27.089365975707953,26.72378214560007,26.304851930074623,26.11228736233099,26.348502779931646,26.427452523946762,26.420602189718068,26.327410094954374,26.480225450165275,26.895164024711214,27.51232318869568,27.91317572298249
SG GALAS,1988.0,27.444220940917962,27.05547599928385,26.650804776310245,26.45512484688092,26.69439375569709,26.774582673549652,26.76216974548972,26.65258644802988,26.81992610327323,27.232331337915728,27.86260231140195,28.254146514377183
SG GALAS,1989.0,26.67752545608504,26.33141580097288,25.906276399777433,25.71199335552307,25.94958969918412,26.030492295265198,26.006451587993077,25.91970701266498,26.08054456653564,26.483238201361495,27.107038348553562,27.516662140786515
SG GALAS,1990.0,27.090636295392947,26.714307598689793,26.31197674798358,26.108157801026525,26.351296466552277,26.435629238128662,26.419829149738813,26.32482127703518,26.481705847747122,26.897370309095724,27.51765465811224,27.923760189479776
SG GALAS,1991.0,27.02661259437579,26.654608352481656,26.240763790451467,26.039275848432556,26.28277441192276,26.36392887377739,26.35185412193342,26.24732922372656,26.41137217420035,26.816908156563137,27.44899243362158,27.846714079973502
SG GALAS,1992.0,27.09022107763183,26.70879191769494,26.297866321178482,26.099668740466857,26.34404603546846,26.422874440193176,26.40358417585379,26.303854338149435,26.467834320037518,26.875330383717227,27.507327462984552,27.908116897581223
SG GALAS,1993.0,27.737321514062653,27.356283921881424,26.95699919304214,26.745884492858366,26.992139050323864,27.07189526104927,27.06585357042621,26.962986648888343,27.119089392102673,27.550072958831695,28.169187291250527,28.553312470469653
SG GALAS,1994.0,28.181966292347166,27.814806436202193,27.407804938617772,27.20112124081418,27.442295296591002,27.52103876018524,27.51101166465239,27.39700057451973,27.565848786844587,27.997589632910483,28.625234470268797,28.99104985141162
SG GALAS,1995.0,27.572348508757642,27.215634056512616,26.799094242082965,26.595455356762226,26.83114346300283,26.92470814728737,26.912005889616733,26.806720564610032,26.967279367941984,27.382949972500626,28.017787973947943,28.390949998935923
SG GALAS,1996.0,27.52113694786441,27.149302815715785,26.744660163637768,26.53423282374351,26.777267905549763,26.86464231157303,26.852621785531404,26.752103654511746,26.914022415186857,27.33024819460942,27.960017204948542,28.33805911857078
SG GALAS,1997.0,26.988396116085394,26.619366351149,26.20901407222723,26.002557243515426,26.247807916097575,26.33705179834366,26.31075893488814,26.21198859591373,26.376423271876448,26.779769545389815,27.41860499154969,27.81658791391406
SG GALAS,1998.0,27.127600953799586,26.74006564068727,26.33900006864015,26.135374375492898,26.377382358775662,26.46098550105095,26.444197405874966,26.34771195936868,26.504621655110274,26.918038182273886,27.541923127207195,27.9423963990241
SG GALAS,1999.0,27.722381896796374,27.38646768606965,26.957062927288973,26.763291417183133,26.99199028337938,27.089728821754456,27.07901115624594,26.9878958633209,27.138259840283997,27.5626124158564,28.189173709735943,28.556158059757866
SG GALAS,2000.0,27.545478575226443,27.209805883010887,26.780240645539983,26.5823644299182,26.814630332165063,26.911562193870544,26.89505945352831,26.793002626680487,26.95393088291114,27.367739750168358,28.006028155155732,28.375839737724288
SG GALAS,2001.0,27.344344625101904,26.981121607497233,26.565291866449563,26.364056989310367,26.603988866517827,26.689248193740845,26.67715443517868,26.578253498460583,26.735921713045304,27.15150707361089,27.77957517821623,28.167358524148902
SG GALAS,2001.9999999999998,26.897064652907737,26.53850797375241,26.12146334368496,25.92333429767747,26.161659327498406,26.244448085069656,26.22749966601145,26.13090700515413,26.293315526240686,26.69826842237145,27.324535230314243,27.728136272007674
SG GALAS,2003.0,27.08498357834806,26.714740570235463,26.302611168133385,26.099783709442224,26.340782558496823,26.431752104997635,26.410277493205026,26.31428108979276,26.472723835079137,26.8804412017686,27.51477534821962,27.90820463244584
SG GALAS,2003.9999999999998,27.303326454690712,26.94042228220414,26.53652088565619,26.328481859607717,26.573212900623595,26.655915488243103,26.634529074347302,26.5478698509372,26.70101328426202,27.126943061111056,27.741539459378288,28.143166876762084
